group_name,description,strategy,pattern,total_requests,success_count,rejected_count,throughput_rps,error_rate,rejection_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,budget_10_success_rate,budget_50_success_rate,budget_100_success_rate,duration_seconds
rajomon_C3_step_large,[步长] priceStep=20 — 大步长，快速涨价，强制区分预算,rajomon,step,27043,8757,18286,158.21,0.0000,0.6762,12.22,0.00,48.00,59.00,96.00,0.1037,0.2719,0.5973,55.35
rajomon_C3_step_large,[步长] priceStep=20 — 大步长，快速涨价，强制区分预算,rajomon,sine,37125,3201,33924,54.30,0.0000,0.9138,3.58,0.00,35.00,50.00,93.00,0.0011,0.0361,0.2220,58.95
rajomon_C3_step_large,[步长] priceStep=20 — 大步长，快速涨价，强制区分预算,rajomon,poisson,2860,2860,0,47.67,0.0000,0.0000,35.57,35.00,49.00,51.00,57.00,1.0000,1.0000,1.0000,59.99
rajomon_C4_step_extreme,[步长] priceStep=30 — 超大步长，一旦过载即刻拒绝低预算,rajomon,step,25996,6604,19392,119.53,0.0000,0.7460,9.36,0.00,46.00,50.00,92.00,0.0970,0.1959,0.4656,55.25
rajomon_C4_step_extreme,[步长] priceStep=30 — 超大步长，一旦过载即刻拒绝低预算,rajomon,sine,36197,1018,35179,17.28,0.0000,0.9719,1.45,0.00,4.00,44.00,98.00,0.0015,0.0228,0.0602,58.91
rajomon_C4_step_extreme,[步长] priceStep=30 — 超大步长，一旦过载即刻拒绝低预算,rajomon,poisson,2939,2939,0,48.96,0.0000,0.0000,35.68,35.00,49.00,51.00,58.00,1.0000,1.0000,1.0000,60.02
rajomon_D1_threshold_strict,[阈值] threshold=500µs — 极严格，轻微排队即触发涨价,rajomon,step,26845,8971,17874,162.29,0.0000,0.6658,13.22,0.00,50.00,64.00,100.00,0.1171,0.3139,0.5746,55.28
rajomon_D1_threshold_strict,[阈值] threshold=500µs — 极严格，轻微排队即触发涨价,rajomon,sine,42520,16280,26240,275.91,0.0000,0.6171,14.93,0.00,50.00,66.00,117.00,0.0032,0.1422,1.0000,59.01
rajomon_D1_threshold_strict,[阈值] threshold=500µs — 极严格，轻微排队即触发涨价,rajomon,poisson,2931,2931,0,48.88,0.0000,0.0000,35.92,36.00,49.00,51.00,56.00,1.0000,1.0000,1.0000,59.97
rajomon_D2_threshold_relaxed,[阈值] threshold=5000µs — 宽松，高容忍度，逼近无治理吞吐,rajomon,step,27254,10295,16959,185.89,0.0000,0.6223,15.28,0.00,52.00,72.00,129.00,0.1232,0.3317,0.6790,55.38
rajomon_D2_threshold_relaxed,[阈值] threshold=5000µs — 宽松，高容忍度，逼近无治理吞吐,rajomon,sine,41839,16052,25787,271.99,0.0000,0.6163,15.79,0.00,54.00,73.00,133.00,0.0059,0.1555,1.0000,59.02
rajomon_D2_threshold_relaxed,[阈值] threshold=5000µs — 宽松，高容忍度，逼近无治理吞吐,rajomon,poisson,2854,2854,0,47.54,0.0000,0.0000,35.82,36.00,49.00,51.00,58.00,1.0000,1.0000,1.0000,60.04
rajomon_D3_threshold_ultra,[阈值] threshold=10000µs — 超宽松，仅极端过载才涨价,rajomon,step,27195,10322,16873,186.49,0.0000,0.6204,15.58,0.00,53.00,73.00,130.00,0.1288,0.3379,0.6741,55.35
rajomon_D3_threshold_ultra,[阈值] threshold=10000µs — 超宽松，仅极端过载才涨价,rajomon,sine,41852,16372,25480,277.52,0.0000,0.6088,16.34,0.00,56.00,77.00,159.00,0.0061,0.1634,1.0000,58.99
rajomon_D3_threshold_ultra,[阈值] threshold=10000µs — 超宽松，仅极端过载才涨价,rajomon,poisson,2980,2980,0,49.69,0.0000,0.0000,35.86,36.00,49.00,51.00,73.00,1.0000,1.0000,1.0000,59.97
rajomon_E1_update_fast,[频率] 50ms更新 — 快速反应负载变化，减少延迟波动,rajomon,step,27679,11645,16034,210.31,0.0000,0.5793,17.49,0.00,56.00,75.00,119.00,0.1770,0.3833,0.6995,55.37
rajomon_E1_update_fast,[频率] 50ms更新 — 快速反应负载变化，减少延迟波动,rajomon,sine,42231,17606,24625,298.31,0.0000,0.5831,17.66,0.00,57.00,81.00,141.00,0.0098,0.2376,1.0000,59.02
rajomon_E1_update_fast,[频率] 50ms更新 — 快速反应负载变化，减少延迟波动,rajomon,poisson,2979,2979,0,49.62,0.0000,0.0000,36.02,36.00,49.00,51.00,68.00,1.0000,1.0000,1.0000,60.04
rajomon_E2_update_slow,[频率] 300ms更新 — 平滑价格抖动，但反应滞后,rajomon,step,27006,10352,16654,187.01,0.0000,0.6167,16.10,0.00,56.00,77.00,131.00,0.1268,0.3341,0.6912,55.35
rajomon_E2_update_slow,[频率] 300ms更新 — 平滑价格抖动，但反应滞后,rajomon,sine,38793,7433,31360,125.97,0.0000,0.8084,7.69,0.00,47.00,58.00,104.00,0.0103,0.0638,0.5022,59.01
rajomon_E2_update_slow,[频率] 300ms更新 — 平滑价格抖动，但反应滞后,rajomon,poisson,3021,3021,0,50.36,0.0000,0.0000,35.73,36.00,49.00,51.00,57.00,1.0000,1.0000,1.0000,59.98
rajomon_F1_skewed_budget,[预算] 90%低预算(10) + 10%高预算(100) — 考验金牌用户保护,rajomon,step,25392,7750,17642,140.09,0.0000,0.6948,14.46,0.00,56.00,128.09,276.00,0.2280,0.0000,1.0000,55.32
rajomon_F1_skewed_budget,[预算] 90%低预算(10) + 10%高预算(100) — 考验金牌用户保护,rajomon,sine,36178,7239,28939,122.78,0.0000,0.7999,12.03,0.00,76.00,127.00,212.00,0.1124,0.0000,1.0000,58.96
rajomon_F1_skewed_budget,[预算] 90%低预算(10) + 10%高预算(100) — 考验金牌用户保护,rajomon,poisson,2976,2976,0,49.63,0.0000,0.0000,35.67,35.00,49.00,51.00,61.00,1.0000,0.0000,1.0000,59.96
rajomon_F2_gradient_budget,[预算] 五级梯度(5/20/50/100/200) — 测试细粒度价值区分,rajomon,step,28786,13466,15320,243.20,0.0000,0.5322,18.66,0.00,53.00,68.00,159.00,0.0000,0.5558,1.0000,55.37
rajomon_F2_gradient_budget,[预算] 五级梯度(5/20/50/100/200) — 测试细粒度价值区分,rajomon,sine,41790,15311,26479,259.42,0.0000,0.6336,14.67,0.00,51.00,69.00,118.00,0.0000,0.4974,1.0000,59.02
rajomon_F2_gradient_budget,[预算] 五级梯度(5/20/50/100/200) — 测试细粒度价值区分,rajomon,poisson,2865,2865,0,47.75,0.0000,0.0000,35.62,36.00,49.00,50.00,58.00,0.0000,1.0000,1.0000,60.00
rajomon_X1_expdecay_fast,[组合] expdecay + 50ms更新 — 最佳震荡抑制，平滑P95,rajomon,step,27279,9841,17438,177.78,0.0000,0.6392,14.13,0.00,50.00,66.00,128.00,0.1391,0.3097,0.6338,55.36
rajomon_X1_expdecay_fast,[组合] expdecay + 50ms更新 — 最佳震荡抑制，平滑P95,rajomon,sine,41856,15281,26575,258.96,0.0000,0.6349,14.48,0.00,51.00,66.00,134.00,0.0035,0.1366,0.9634,59.01
rajomon_X1_expdecay_fast,[组合] expdecay + 50ms更新 — 最佳震荡抑制，平滑P95,rajomon,poisson,2941,2941,0,48.97,0.0000,0.0000,35.76,36.00,49.00,50.00,57.00,1.0000,1.0000,1.0000,60.05
rajomon_X2_aggressive,[组合] priceStep=25 + threshold=800µs — 极速涨价，最强保护,rajomon,step,26360,7175,19185,129.49,0.0000,0.7278,10.09,0.00,46.00,52.00,108.00,0.0749,0.1995,0.5403,55.41
rajomon_X2_aggressive,[组合] priceStep=25 + threshold=800µs — 极速涨价，最强保护,rajomon,sine,36346,855,35491,14.51,0.0000,0.9765,1.04,0.00,2.00,40.00,131.00,0.0021,0.0150,0.0531,58.92
rajomon_X2_aggressive,[组合] priceStep=25 + threshold=800µs — 极速涨价，最强保护,rajomon,poisson,3087,3087,0,51.49,0.0000,0.0000,35.53,35.00,49.00,50.00,55.00,1.0000,1.0000,1.0000,59.95
rajomon_X3_additive_steep,[组合] additive聚合 + priceStep=15 — 串行链条累加高压,rajomon,step,27096,8848,18248,159.85,0.0000,0.6735,12.23,0.00,48.00,59.00,125.00,0.1081,0.2899,0.5858,55.35
rajomon_X3_additive_steep,[组合] additive聚合 + priceStep=15 — 串行链条累加高压,rajomon,sine,38941,8688,30253,147.25,0.0000,0.7769,8.78,0.00,47.00,61.00,111.00,0.0018,0.0746,0.5928,59.00
rajomon_X3_additive_steep,[组合] additive聚合 + priceStep=15 — 串行链条累加高压,rajomon,poisson,2964,2956,8,49.29,0.0000,0.0027,35.59,36.00,49.00,51.00,55.00,0.9918,1.0000,1.0000,59.97
rajomon_X4_expdecay_additive,[组合] expdecay + additive — 非线性定价与累加聚合,rajomon,step,27133,9236,17897,166.69,0.0000,0.6596,13.13,0.00,49.00,64.00,133.00,0.1099,0.2916,0.6232,55.41
rajomon_X4_expdecay_additive,[组合] expdecay + additive — 非线性定价与累加聚合,rajomon,sine,39928,10733,29195,181.86,0.0000,0.7312,10.62,0.00,49.00,62.00,95.00,0.0016,0.0683,0.7388,59.02
rajomon_X4_expdecay_additive,[组合] expdecay + additive — 非线性定价与累加聚合,rajomon,poisson,2972,2972,0,49.53,0.0000,0.0000,35.35,35.00,49.00,50.00,56.00,1.0000,1.0000,1.0000,60.01
rajomon_X5_max_throughput,[组合] priceStep=2 + threshold=8000µs — 极限吞吐，接近无治理,rajomon,step,27548,12895,14653,232.89,0.0000,0.5319,20.69,0.00,63.00,85.00,258.00,0.1725,0.3890,0.8485,55.37
rajomon_X5_max_throughput,[组合] priceStep=2 + threshold=8000µs — 极限吞吐，接近无治理,rajomon,sine,42104,19260,22844,326.44,0.0000,0.5426,20.57,0.00,64.00,89.00,160.00,0.0152,0.3562,1.0000,59.00
rajomon_X5_max_throughput,[组合] priceStep=2 + threshold=8000µs — 极限吞吐，接近无治理,rajomon,poisson,2833,2833,0,47.22,0.0000,0.0000,35.59,36.00,49.00,50.00,53.00,1.0000,1.0000,1.0000,60.00
rajomon_X6_advanced,[组合] expdecay + mean聚合 + 极端预算 — 高级综合场景,rajomon,step,26095,7412,18683,133.79,0.0000,0.7160,11.49,0.00,49.00,70.00,215.00,0.2105,0.0000,0.9661,55.40
rajomon_X6_advanced,[组合] expdecay + mean聚合 + 极端预算 — 高级综合场景,rajomon,sine,36490,4655,31835,78.93,0.0000,0.8724,6.08,0.00,44.00,85.00,207.00,0.0387,0.0000,0.9431,58.98
rajomon_X6_advanced,[组合] expdecay + mean聚合 + 极端预算 — 高级综合场景,rajomon,poisson,2921,2921,0,48.68,0.0000,0.0000,36.08,36.00,49.00,50.00,55.00,1.0000,0.0000,1.0000,60.00
